phenomenon;sentence_good;sentence_bad
ARG. STR.;Lisa såg Olle i parken;Lisa sprang Olle i parken
ARG. STR.;John gillade kudden i sovrummet;John sov kudden i sovrummet
ARG. STR.;Hanna slog åsikten i podiet;Hanna tyckte åsikten i podiet
ARG. STR.;Niklas härmade bläckfisken i havet;Niklas sjönk bläckfisken i havet
ARG. STR.;Pelle skrämde huset på ängen;Pelle bodde huset på ängen
ARG. STR.;Rebecka rev bastun på ön;Rebecka simmade bastun på ön
ARG. STR.;Herrarna skövlade skogen i Brasilien;Herrarna knakade skogen i Brasilien
ARG. STR.;Sara spände bågen på torget;Sara susade bågen på torget
ARG. STR.;Tjuvarna sprängde valvet i banken;Tjuvarna gnisslade valvet i banken
ARG. STR.;Katten övertalade råttan i stallet;Katten smög råttan i stallet
ARG. STR.;Ylva köper juristen på glaset;Ylva sover juristen på glaset
ARG. STR.;Vive säljer notarien i täcket;Vive vaknar notarien i täcket
ARG. STR.;Viola öppnar intendenten under resväskan;Viola somnar intendenten under resväskan
ARG. STR.;Uma slänger inspektören över bron;Uma går inspektören över bron
ARG. STR.;Ulla skriver brevet bredvid uppgiften;Ulla springer brevet bredvid uppgiften
ARG. STR.;Tryggve läser tidningen framför skeden;Tryggve kommer tidningen framför skeden
ARG. STR.;Torgny lurar ombudsmannen bakom soffan;Torgny skrattar ombudsmannen bakom soffan
ARG. STR.;Tobias målar fiskaren genom bussen;Tobias åker fiskaren genom bussen
ARG. STR.;Tobias bygger kanslern utan sången;Tobias faller kanslern utan sången
ARG. STR.;Ted river ministern med brevet;Ted stiger ministern med brevet
ARG. STR.;Sofie kastar statssekreteraren till taket;Sofie står statssekreteraren till taket
ARG. STR.;Sara tar guvernören från fåtöljen;Sara försvinner guvernören från fåtöljen
ARG. STR.;Sandra bär landshövdingen av vägen;Sandra uppstår landshövdingen av vägen
ARG. STR.;Saga lämnar borgmästaren på kartan;Saga somnar borgmästaren på kartan
ARG. STR.;Rune hämtar ordföranden hos tentan;Rune anländer ordföranden hos tentan
ARG. STR.;Runar slår talman­nen mellan revbenen;Runar dröjer talman­nen mellan revbenen
ARG. STR.;Robert sparkar ledamoten från rapporten;Robert skiner ledamoten från rapporten
ARG. STR.;Pontus lyfter riksdagsmannen vid parken;Pontus brinner riksdagsmannen vid parken
ARG. STR.;Otis flyttar senatorn i rummet;Otis rinner senatorn i rummet
ARG. STR.;Oscar fyller parlamentarikern hos frisören;Oscar växer parlamentarikern hos frisören
ARG. STR.;Olle tömmer ambassadören på pengar;Olle mognar ambassadören på pengar
ARG. STR.;Nils håller diplomaten på stigen;Nils gäspar diplomaten på stigen
ARG. STR.;Niklas släpper generalen under sjön;Niklas sjunker generalen under sjön
ARG. STR.;Nicole lägger hatten på amiralen;Nicole liftar hatten på amiralen
ARG. STR.;Nico ställer översten bredvid ladan;Nico landar översten bredvid ladan
ARG. STR.;Nada sätter kaptenlöjtnanten framför datorn;Nada sitter kaptenlöjtnanten framför datorn
ARG. STR.;Murat hittar sergeanten bakom mobilen;Murat ligger sergeanten bakom mobilen
ARG. STR.;Muhammed förlorar korpralen från cykeln;Muhammed står korpralen från cykeln
ARG. STR.;Meriem vinner soldaten utan artikeln;Meriem gråter soldaten utan artikeln
ARG. STR.;Maude ser krigaren i köket;Maude skrattar krigaren i köket
ARG. STR.;Mats hör ryttaren från boken;Mats ler ryttaren från boken
ARG. STR.;Maria känner piloten från Rom;Maria åker piloten från Rom
ARG. STR.;Majken skakar maten i lådan;Majken hostar maten i lådan
ARG. STR.;Maj slår styrmannen på väggen;Maj nyser styrmannen på väggen
ARG. STR.;Magdalena glömmer skepparen hos tandläkaren;Magdalena gäspar skepparen hos tandläkaren
ARG. STR.;Linn minns lotsen på varvet;Linn blöder lotsen på varvet
ARG. STR.;Linda älskar sjömannen bland träden;Linda dör sjömannen bland träden
ARG. STR.;Kristina gillar skeppskocken på fregatten;Kristina lever skeppskocken på fregatten
ARG. STR.;Kristin kaster provet på maskinisten;Kristin står provet på maskinisten
ARG. STR.;Klas kör eldaren till lådan;Klas ämnar eldaren till lådan
ARG. STR.;Klara behöver byggmästaren på hyllan;Klara går byggmästaren på hyllan
ARG. STR.;Kerstin använder arkitekten för frågan;Kerstin existerar arkitekten för frågan
ARG. STR.;Katrin missar ingenjören under trappan;Katrin upphör ingenjören under trappan
ARG. STR.;Karl träffar teknikern på bryggeriet;Karl fortsätter teknikern på bryggeriet
ARG. STR.;Josefin väcker uppfinnaren bredvid notisen;Josefin stampar uppfinnaren bredvid notisen
ARG. STR.;Josef söver konstnären framför klockan;Josef slutar konstnären framför klockan
ARG. STR.;Jonas tvättar målaren bakom spisen;Jonas sover målaren bakom spisen
ARG. STR.;John städar rummet genom plasten;John orkar rummet genom plasten
ARG. STR.;Johan skriver boken utan pauser;Johan går boken utan pauser
ARG. STR.;Joakim sätter planen med medarbetarna;Joakim slumrar planen med medarbetarna
ARG. STR.;Janice steker skalden i kistan;Janice flämtar skalden i kistan
ARG. STR.;Iris löser problemet på tavlan;Iris skälver problemet på tavlan
ARG. STR.;Ingrid skickar journalisten till solen;Ingrid skriker journalisten till stolen
ARG. STR.;Inger leder redaktören till skogen;Inger ropar redaktören till skogen
ARG. STR.;Ida ringer krönikören med nyckeln;Ida vilar krönikören med nyckeln
ARG. STR.;Henning svarar historikern i staden;Henning arbetar historikern i staden
ARG. STR.;Helga frågar läraren om skåpet;Helga tävlar läraren om skåpet
